unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
39372,10392,1721,8,121342.984,"Ipu",102156,"","Ipu","Serra Grande","",440.8,453,350,0,"",0,0
35939,9100,1580,1,49390.734,"Aleqatsiaq Fjord Fm",9812,"","Aleqatsiaq Fjord","Morris Bugt","",440.8,445.2,0,0,"",0,0
34310,8569,1486,1,13116.793,"unnamed",,"","","","",441.2,447.7,30,30,"",0,0
38073,9826,1652,1,49450.148,"Mount Kindle Fm",9596,"","Mount Kindle","","",441.2,449.75,220,220,"",0,0
37728,9695,1640,1,14987.971,"Beaverfoot Fm",4877,"","Beaverfoot","","",441.2,449,50,50,"",0,0
22630,6303,272,1,9718.114,"Unnamed Volcanics And Metasediments",,"","","","",441.2,503.5,3000,0,"surface",0,0
38216,9888,1658,1,19558.414,"unnamed",,"","","","",441.2,450,400,400,"",0,0
33501,8113,1443,1,42836.863,"unnamed",,"","","","",441.2,475.775,0,0,"",0,0
37620,9654,1636,1,98309.352,"Stonewall Fm",7656,"","Stonewall","","",441.46,444.15,30,30,"",0,0
37904,9758,1644,1,55009.594,"Stonewall Fm",7656,"","Stonewall","","",441.46,444.85,30,30,"",0,0
37654,9668,1637,1,63908.941,"Stonewall Fm",7656,"","Stonewall","","",441.46,444.85,30,30,"",0,0
37940,9767,1645,1,51038.77,"Stonewall Fm",7656,"","Stonewall","","",441.46,444.85,20,20,"",0,0
36633,9376,1611,1,23820.965,"Stonewall Fm",7656,"","Stonewall","","",441.46,445.2,20,20,"",0,0
37369,9580,1629,1,38296.391,"Stonewall Fm",7656,"","Stonewall","","",441.46,444.15,100,100,"",0,0
36587,9364,1610,1,28790.844,"Stonewall Fm",7656,"","Stonewall","","",441.46,445.2,20,20,"",0,0
10715,2815,393,1,136570.234,"Unnamed",,"","","","",441.55,454.5,0,0,"",0,0
35962,9101,1581,1,39846.727,"Morris Buft Gp",9819,"","","Morris Bugt","",441.55,444.15,85,40,"",0,0
10804,2846,397,1,31069.246,"Unnamed",,"","","","",442.0334,454.5,0,0,"",0,0
36513,9338,1606,1,53109.895,"Ellis Bay Fm",5170,"","Ellis Bay","","",442.0666,445.2,100,0,"",11,28
36492,9325,1605,1,27569.646,"Ellis Bay Fm",5170,"","Ellis Bay","","",442.0666,445.2,100,100,"",148,922
36540,9347,1607,1,4942.13,"Ellis Bay Fm",5170,"","Ellis Bay","","",442.0666,445.2,100,0,"",0,0
1884,289,53,1,12271.125,"Montoya Fm",1333,"","Montoya","","",442.475,458.4,49,0,"",0,0
2082,328,58,1,29165.619,"Persimmon Gap Fm",1562,"","Persimmon Gap","","",442.475,446.15,9,2,"both",0,0
11750,3178,433,1,27448.68,"Noix Oolite Mbr",3009,"Noix Oolite","Edgewood Limestone","","",443.05,446.055,18,0,"both",4,38
37106,9527,1623,1,12569.534,"Beaverfoot Fm",4877,"","Beaverfoot","","",443.05,449.25,150,150,"",0,0
36016,9111,1585,1,41829.488,"Amundsen Land Gp",9857,"","","Amundsen Land","",443.3,475.775,500,350,"",0,0
11574,3113,432,1,42690.191,"Neda Fm",1404,"","Neda","Maquoketa","",443.3,446.4667,3,0,"",2,32
225,63,12,1,15407.188,"Shellmound Fm",1887,"","Shellmound","","",443.8,449.25,60,0,"both",0,0
1227,163,32,1,10739.39,"Juniata Fm",999,"","Juniata","","",443.8,448.05,140,0,"subsurface",0,0
14447,3834,476,1,26556.199,"Fish Haven Dolomite",3923,"","Fish Haven Dolomite","","",443.8,449.25,450,300,"surface",0,0
1717,218,46,1,9995.404,"Juniata Fm",999,"","Juniata","","",443.8,447.67,380,320,"subsurface",0,0
22190,6139,784,1,72573.906,"Churchill River",7918,"","","Churchill River","",443.8,451,0,0,"",0,0
1102,150,28,1,3176.828,"Juniata Fm",999,"","Juniata","","",443.8,449.25,122,0,"surface",0,0
10473,2717,381,1,11814.501,"Greenvale Cove Fm",801,"","Greenvale Cove","","",443.8,446.15,200,100,"surface",0,0
1480,184,42,1,2720.528,"Juniata Fm",999,"","Juniata","","",443.8,449.1667,61,0,"surface",0,0
35646,8973,1552,1,6188.042,"Hazen Fm",9762,"","Hazen","","",443.8,471.925,190,190,"",0,0
5544,1305,158,1,23283.85,"Keel Fm",1018,"","Keel","Hunton","",443.8,446.15,4,0,"",0,0
7656,2013,298,1,13089.844,"Undifferentiated",,"","","","",443.8,451,274,192,"subsurface",0,0
22254,6174,775,1,63762.832,"Churchill River",7918,"","","Churchill River","",443.8,451,0,0,"",0,0
1656,210,45,1,10998.371,"Juniata Fm",999,"","Juniata","","",443.8,448.05,255,80,"subsurface",0,0
5504,1300,157,1,46089.656,"Pettit Oolite",5758,"","Pettit Oolite","","",443.8,446.15,1,0,"subsurface",0,0
2653,491,74,1,41760.438,"Sylvan Shale",4246,"","Sylvan Shale","","",443.8,448.05,150,0,"subsurface",0,0
7854,2028,301,1,12044.353,"Juniata Fm",999,"","Juniata","","",443.8,449,454,272,"surface",0,0
7619,2008,297,1,4416.283,"Juniata Fm",999,"","Juniata","","",443.8,448.05,55,0,"both",0,0
5727,1339,165,1,33655.52,"Polk Creek Shale",4202,"","Polk Creek Shale","","",443.8,449,18,6,"surface",0,0
548,86,18,1,12817.529,"Juniata Fm",999,"","Juniata","","",443.8,449.125,18,9,"subsurface",0,0
1995,308,47,1,4248.86,"Juniata Fm",999,"","Juniata","","",443.8,448.05,200,100,"both",0,0
8142,2064,305,1,20502.52,"Queenston Shale",4205,"","Queenston Shale","","",443.8,447.7333,287,0,"subsurface",0,0
683,98,20,1,4162.582,"Juniata Fm",999,"","Juniata","","",443.8,449.1667,24,15,"subsurface",0,0
19173,5070,641,1,17542.797,"Matapedia",7993,"","","Matapedia","",443.8,451,2896,0,"",4,55
1438,180,41,1,5738.12,"Juniata Fm",999,"","Juniata","","",443.8,449,77,70,"surface",0,0
436,75,16,1,2824.982,"Juniata Fm",999,"","Juniata","","",443.8,449.3333,91,0,"both",0,0
7754,2025,300,1,17251.09,"Juniata Fm",999,"","Juniata","","",443.8,449,291,0,"subsurface",0,0
37049,9514,1622,1,12632.451,"unnamed",,"","","","",443.8,449.25,70,70,"",0,0
35806,9042,1566,1,6939.158,"Hazen Fm",9762,"","Hazen","","",443.8,514,0,0,"",0,0
2144,342,59,1,24602.332,"Persimmon Gap Shale",4190,"","Persimmon Gap Shale","","",443.8,448.05,10,2,"surface",0,0
224,63,12,1,15407.188,"Sequatchie Fm",1864,"","Sequatchie","","",443.8,449.25,60,0,"both",0,0
35689,8985,1556,1,5279.401,"Hazen Fm",9762,"","Hazen","","",443.8,471.925,100,100,"",0,0
4766,984,121,1,10497.429,"Porphyroblastic Argillite",,"","","","",443.8,723.28,0,0,"subsurface",0,0
7687,2020,299,1,13232.745,"Undifferentiated",,"","","","",443.8,450,190,123,"subsurface",0,0
35542,8949,1545,1,7032.232,"Allen Bay Fm",3176,"","Allen Bay","","",443.8,449.25,120,120,"",0,0
1327,173,39,1,8320.473,"Juniata Fm",999,"","Juniata","","",443.8,448.05,400,200,"subsurface",0,0
609,93,19,1,8705.258,"Drakes Fm",556,"","Drakes","","",443.8,449.25,40,30,"both",0,0
35637,8969,1550,1,9960.218,"Allen Bay Fm",3176,"","Allen Bay","","",443.8,449.25,100,100,"",0,0
13789,3661,462,1,33541.77,"Valmy Fm",2190,"","Valmy","","",443.8,483.475,50,0,"",1,6
2312,395,65,1,21309.078,"Montoya Dolomite",3967,"","Montoya Dolomite","","",443.8,450.75,60,0,"both",0,0
11328,3054,428,1,27521.074,"Undifferentiated",,"","","","",443.8,448.05,140,110,"subsurface",1,1
35873,9069,1571,1,3137.817,"Disraeli Glacier Fm",9789,"","Disraeli Glacier","","",443.8,444.15,0,0,"",0,0
1180,159,38,1,2426.784,"Juniata Fm",999,"","Juniata","","",443.8,449.25,57,0,"both",0,0
7588,2004,296,1,5979.281,"Juniata Fm",999,"","Juniata","","",443.8,448.05,280,0,"both",0,0
35867,9068,1570,1,1667.73,"Lorimer Ridge Fm",9795,"","Lorimer Ridge","Harley Ridge","",443.8,444.15,760,750,"",0,0
684,6355,811,1,1315.087,"Sequatchie Fm",1864,"","Sequatchie","","",443.8,449.25,70,0,"subsurface",0,0
35854,9061,1569,1,3837.833,"Disraeli Glacier Fm",9789,"","Disraeli Glacier","","",443.8,444.15,410,400,"",0,0
18753,4885,611,1,12242.685,"Unnamed",,"","","","",443.8,458.4,0,0,"",0,0
35608,8960,1548,1,23223.506,"Allen Bay Fm",3176,"","Allen Bay","","",443.8,449.25,200,200,"",0,0
5451,1281,156,1,5804.057,"Juniata Fm",999,"","Juniata","","",443.8,448.05,8,0,"subsurface",0,0
2414,425,68,1,20931.695,"Sylvan Shale",4246,"","Sylvan Shale","","",443.8,446.15,15,0,"subsurface",0,0
1014,134,26,1,13344.285,"Idean Quarry Mbr of Keel Fm",7052,"Idean Quarry","Keel","Hunton","",443.8,446.15,4,0,"both",0,0
682,98,20,1,4162.582,"Drakes Fm",556,"","Drakes","","",443.8,449.1667,35,30,"both",0,0
435,75,16,1,2824.982,"Sequatchie Fm",1864,"","Sequatchie","","",443.8,449.1667,91,0,"both",0,0
8265,2070,307,1,11732.15,"Spitzenberg Conglomerate",4552,"","Spitzenberg Conglomerate","","",443.8,445.8333,35,0,"surface",0,0
7753,2025,300,1,17251.09,"Queenston Shale",4205,"","Queenston Shale","","",443.8,449,290,0,"subsurface",0,0
14502,3845,477,1,11327.024,"Fish Haven Dolomite",3923,"","Fish Haven Dolomite","","",443.8,448.05,130,0,"surface",1,2
1365,177,40,1,5425.713,"Juniata Fm",999,"","Juniata","","",443.8,448.05,100,70,"subsurface",0,0
5221,1229,148,1,23990.66,"Pettit Oolite",5758,"","Pettit Oolite","","",443.8,446.15,1,0,"both",0,0
22168,6124,786,1,16276.36,"Dawson Point Fm and Farr Fm and Bucke Fm and Guigues Fm",5197,"","Farr","","",443.8,485.4,0,0,"",0,0
493,81,17,1,13348.094,"Drakes Fm",556,"","Drakes","","",443.8,446.15,40,0,"both",0,0
2698,498,75,1,23792.137,"Sylvan Shale",4246,"","Sylvan Shale","","",443.8,449,150,0,"subsurface",0,0
22439,6256,801,1,36852.895,"Maquoketa Gp",2540,"","","Maquoketa","",443.8,449,43,0,"",0,0
5773,1346,166,1,18744.582,"Polk Creek Shale",4202,"","Polk Creek Shale","","",443.8,449,46,6,"",0,0
13809,3664,463,1,34258.02,"Hanson Creek Fm (middle Mbr)",831,"","Hanson Creek","","",443.8,449.25,90,0,"surface",11,151
33258,7756,1421,1,76726.102,"Victoria Fm",9371,"","Victoria","","",443.8,454.2,0,0,"",0,0
2072,325,57,1,29008.318,"Montoya Gp",2567,"","","Montoya","",443.8,464,137,70,"",6,22
36683,9389,1612,1,48788.035,"Stonewall Fm",7656,"","Stonewall","","",443.8,445.2,10,10,"",0,0
608,93,19,1,8705.258,"Juniata Fm",999,"","Juniata","","",443.8,449.3333,24,15,"subsurface",0,0
7932,2042,302,1,9633.172,"Juniata Fm and Bald Eagle Fm",999,"","Juniata","","",443.8,446.15,15,0,"surface",0,0
5382,1275,56,1,3062.928,"Juniata Fm",999,"","Juniata","","",443.8,448.05,61,45,"surface",0,0
