Section Number,Geographic Name,Height (m),d13C_carb,d18O_carb,d13C_org,D13C,Percent carb.,TOC (%)
911,"Nine Mile
Pool",1.9,1.74,-5.02,-27.5,29.24,,
911,"Nine Mile
Pool",2.3,1.47,-4.94,-27.53,29,,
911,"Nine Mile
Pool",2.5,2.03,-3.84,-28.18,30.21,,
D815,Macaire Creek,0.1,0.35,-3.51,-28.21,28.56,87.00%,0.68%
D815,Macaire Creek,0.4,0.5,-3.59,-28.66,29.17,85.10%,0.72%
D815,Macaire Creek,0.7,0.58,-3.44,-27.74,28.32,88.00%,0.61%
D815,Macaire Creek,1,0.6,-3.75,-28.62,29.22,89.30%,0.73%
D815,Macaire Creek,1.3,0.63,-3.45,-27.95,28.58,87.20%,0.45%
D815,"Macaire
Creek",1.5,0.73,-3.34,-28.63,29.36,84.90%,0.88%
D815,Macaire Creek,1.7,0.74,-3.26,-28.99,29.74,85.10%,0.53%
D815,Macaire Creek,2.1,0.72,-3.45,-27.84,28.56,89.00%,0.71%
D815,Macaire Creek,2.3,0.76,-3.5,-27.22,27.98,90.50%,0.35%
D815,Macaire Creek,2.5,1,-3.26,-31.13,32.13,92.70%,0.39%
D815,Macaire Creek,2.65,0.93,-3.24,-29.13,30.06,85.50%,0.73%
912,"Macaire Creek
Quarry",2.7,0.98,-3.56,-27.43,28.41,90.80%,0.03%
912,"Macaire
Creek Quarry",2.95,1.96,-3.96,-24.4,26.36,65.60%,0.21%
912,"Macaire
Creek Quarry",3.1,2.21,NaN,-25.53,27.74,63.50%,0.18%
,Macaire Creek,,,,,,,
"912
912","Quarry Macaire Creek
Quarry","3.32
3.45","2.16
2.78",-9.57,-51.67,"27.88
28.73","57.7%
78.6%","0.12%
0.05%"
912,"Macaire
Creek Quarry",3.6,3.38,-3.77,-25.16,28.54,95.90%,0.15%
912,"Macaire
Creek Quarry",3.8,3.91,-3.18,-25.3,29.21,92.30%,0.15%
912,"Macaire Creek
Quarry",4,3.44,-4.4,-25.66,29.1,85.70%,0.32%
912,"Macaire
Creek Quarry",4.3,3.34,-3.85,-26.13,29.47,96.10%,0.10%
912,"Macaire
Creek Quarry",4.5,3.05,-3.61,NaN,NaN,97.20%,0.15%
912,"Macaire Creek
Quarry",4.6,2.64,-4.28,-26.72,29.36,79.00%,0.23%
912,"Macaire
Creek Quarry",4.8,2.4,-3.96,-26.64,29.04,89.70%,0.19%
912,"Macaire
Creek Quarry",5,1.85,-3.22,-27.95,29.8,86.40%,0.44%
912,"Macaire Creek
Quarry",5.1,2.35,-3.7,-27.65,30,85.20%,0.29%
912,"Macaire
Creek Quarry",6.4,2.29,-3.6,-28.07,30.35,89.40%,0.36%
912,Macaire Creek Quarry,6.9,1.68,-4.26,-27.27,28.95,82.80%,0.27%
920,"Natiscotec
Creek",0.19,1.74,-4.28,,,,
920,"Natiscotec
Creek",0.21,1.74,-4.25,,,,
920,"Natiscotec
Creek",0.23,1.51,-4.72,,,,
920,"Natiscotec
Creek",0.28,1.69,-4.55,,,,
920,"Natiscotec
Creek",0.32,1.77,-4.45,,,,
920,"Natiscotec
Creek",0.39,1.39,-4.84,,,,
920,Natiscotec,0.41,1.68,-4.68,,,,
,"Creek
Natiscotec",,,,,,,
"920
920","Creek Natiscotec
Creek","0.43
0.47","1.47
1.87",-9.18,,,,
920,"Natiscotec
Creek",0.49,1.88,-4.57,,,,
920,"Natiscotec
Creek",0.51,2.18,-4.11,,,,
920,"Natiscotec
Creek",0.53,1.89,-4.8,,,,
